Player,Team,Height,Shoes,Salary,AveragePoints,ThreePointPercentage,FreeThrowPercentage
Kemba Walker,Charlotte Hornets,6-1,Jordan,"$12,000,000",25.6,35.6,84.4
Marvin Williams,Charlotte Hornets,6-9,Nike,"$14,087,500",10.1,36.6,76.7
Willy Hernangomez,Charlotte Hornets,6-11,Adidas,"$1,496,500",7.3,38.5,69.4
Miles Bridges,Charlotte Hornets,6-7,Nike,"$3,206,640",7.5,32.5,75.3
Cristiano Felicio,Chicago Bulls,6-10,Nike,"$8,470,980",4.0,0.0,68.5
Zach LaVine,Chicago Bulls,6-5,Adidas,"$19,500,000",23.7,37.4,83.2
Robin Lopez,Chicago Bulls,7-0,Adidas,"$14,357,750",9.5,22.6,72.4
Ryan Arcidiacono,Chicago Bulls,6-3,Nike,"$1,349,383",6.7,37.3,87.3
Shaquille Harrison,Chicago Bulls,6-4,Nike,"$1,325,531",6.5,27.0,66.7
Cedi Osman,Cleveland Cavaliers,6-8,Nike,"$2,775,000",13.0,34.8,77.9
Ante Zizic,Cleveland Cavaliers,6-11,Adidas,"$1,952,760",7.8,0.0,70.5
Jordan Clarkson,Cleveland Cavaliers,6-5,Nike,"$12,500,000",16.8,32.4,84.4
Collin Sexton,Cleveland Cavaliers,6-2,Nike,"$4,073,760",16.7,40.2,83.9
Nik Stauskas,Cleveland Cavaliers,6-6,Nike,"$2,161,886",5.9,37.2,89.1
Dorian Finney-Smith,Dallas Mavericks,6-8,Nike,"$1,544,951",7.5,31.1,70.9
Maxi Kleber,Dallas Mavericks,6-11,Nike,"$1,378,242",6.8,35.3,78.4
Dwight Powell,Dallas Mavericks,6-11,Nike,"$9,631,250",10.6,30.7,77.2
Luka Doncic,Dallas Mavericks,6-7,Nike,"$6,569,040",21.2,32.7,71.3
Jalen Brunson,Dallas Mavericks,6-3,Nike,"$1,230,000",9.3,34.8,72.5
Devin Harris,Dallas Mavericks,6-3,Nike,"$2,393,887",6.3,31.0,76.1
Trey Burke,Dallas Mavericks,6-1,Nike,"$1,795,015",10.9,35.2,83.1
Justin Jackson,Dallas Mavericks,6-8,Nike,"$2,807,880",7.2,35.5,78.5
Malik Beasley,Denver Nuggets,6-5,Nike,"$1,773,840",11.3,40.2,84.8
Nikola Jokic,Denver Nuggets,7-0,Nike,"$25,467,250",20.1,30.7,82.1
Trey Lyles,Denver Nuggets,6-10,Nike,"$3,364,249",8.5,25.5,69.8
Paul Millsap,Denver Nuggets,6-8,Nike,"$29,230,769",12.6,36.5,72.7
Jamal Murray,Denver Nuggets,6-4,Adidas,"$3,499,800",18.2,36.7,84.8
Mason Plumlee,Denver Nuggets,6-11,Nike,"$12,917,808",7.8,20.0,56.1
Monte Morris,Denver Nuggets,6-3,Nike,"$1,349,383",10.4,41.4,80.2
Torrey Craig,Denver Nuggets,6-7,Nike,"$2,000,000",5.7,32.4,70.0
Andre Drummond,Detroit Pistons,6-11,Jordan,"$25,434,262",17.3,13.2,59.0
Langston Galloway,Detroit Pistons,6-2,Q4,"$7,000,000",8.4,35.5,84.4
Reggie Jackson,Detroit Pistons,6-3,Nike,"$17,043,478",15.4,36.9,86.4
Luke Kennard,Detroit Pistons,6-5,Nike,"$3,275,280",9.7,39.4,83.6
Blake Griffin,Detroit Pistons,6-10,Jordan,"$31,873,932",24.5,36.2,75.3
Zaza Pachulia,Detroit Pistons,6-11,Jordan,"$2,393,887",3.9,0.0,78.2
Bruce Brown,Detroit Pistons,6-5,Nike,"$838,464",4.3,25.8,75.0
Thon Maker,Detroit Pistons,7-1,Adidas,"$3,639,636",5.0,32.0,66.7
Kevon Looney,Golden State Warriors,6-9,Adidas,"$1,567,007",6.3,10.0,61.9
Andre Iguodala,Golden State Warriors,6-6,Nike,"$16,000,000",5.7,33.3,58.2
Shaun Livingston,Golden State Warriors,6-7,Nike,"$8,307,692",4.0,0.0,78.4
Jordan Bell,Golden State Warriors,6-9,Nike,"$1,378,242",3.3,0.0,61.0
Draymond Green,Golden State Warriors,6-7,Nike,"$17,469,565",7.4,28.5,69.2
Klay Thompson,Golden State Warriors,6-7,Anta,"$18,988,725",21.5,40.2,81.6
Stephen Curry,Golden State Warriors,6-3,Under_Armour,"$37,457,154",27.3,43.7,91.6
Kevin Durant,Golden State Warriors,6-9,Nike,"$30,000,000",26.0,35.3,88.5
Quinn Cook,Golden State Warriors,6-2,Nike,"$1,544,951",6.9,40.5,76.9
Jonas Jerebko,Golden State Warriors,6-10,Nike,"$2,165,481",6.3,36.7,80.0
Alfonzo McKinnie,Golden State Warriors,6-8,Nike,"$1,349,383",4.7,35.6,56.3
Clint Capela,Houston Rockets,6-10,Nike,"$15,793,104",16.6,0.0,63.6
Eric Gordon,Houston Rockets,6-4,Adidas,"$13,500,375",16.2,36.0,78.3
James Harden,Houston Rockets,6-5,Adidas,"$30,570,000",36.1,36.8,87.9
Chris Paul,Houston Rockets,6-0,Jordan,"$35,654,150",15.6,35.8,86.2
Gerald Green,Houston Rockets,6-7,Adidas,"$1,512,601",9.2,35.4,83.8
Austin Rivers,Houston Rockets,6-4,Adidas,"$13,155,324",8.1,31.8,52.6
Iman Shumpert,Houston Rockets,6-5,Nike,"$11,011,234",7.5,34.8,80.0
Bojan Bogdanovic,Indiana Pacers,6-8,Adidas,"$10,500,000",18.0,42.5,80.7
Darren Collison,Indiana Pacers,6-0,Q4,"$10,000,000",11.2,40.7,83.2
Cory Joseph,Indiana Pacers,6-3,Nike,"$7,945,000",6.5,32.2,69.8
Domantas Sabonis,Indiana Pacers,6-11,Nike,"$2,659,800",14.1,52.9,71.5
Myles Turner,Indiana Pacers,6-11,Nike,"$3,294,994",13.3,38.8,73.6
Doug McDermott,Indiana Pacers,6-8,Nike,"$7,333,334",7.3,40.8,83.5
Tyreke Evans,Indiana Pacers,6-6,Nike,"$12,400,000",10.2,35.6,71.9
Thaddeus Young,Indiana Pacers,6-8,Nike,"$13,764,045",12.6,34.9,64.4
Wesley Matthews,Indiana Pacers,6-5,Nike,"$19,360,228",12.2,37.2,81.0
Patrick Beverley,Los Angeles Clippers,6-1,Adidas,"$5,027,028",7.6,39.7,78.0
Danilo Gallinari,Los Angeles Clippers,6-10,Adidas,"$21,587,579",19.8,43.3,90.4
Montrezl Harrell,Los Angeles Clippers,6-8,Nike,"$6,000,000",16.6,17.6,64.3
Sindarius Thornwell,Los Angeles Clippers,6-5,Nike,"$1,378,242",1.0,20.0,73.5
Shai Gilgeous-Alexander,Los Angeles Clippers,6-6,Nike,"$3,375,360",10.8,36.7,80.0
Tyrone Wallace,Los Angeles Clippers,6-5,Nike,"$1,349,383",3.5,21.1,52.6
Landry Shamet,Los Angeles Clippers,6-5,Nike,"$1,705,920",9.1,42.2,80.6
JaMychal Green,Los Angeles Clippers,6-9,Jordan,"$8,066,667",9.4,40.3,79.2
Garrett Temple,Los Angeles Clippers,6-6,Nike,"$8,000,000",7.8,34.1,74.8
Ivica Zubac,Los Angeles Clippers,7-1,Adidas,"$1,544,951",8.9,0.0,80.2
Rodney McGruder,Los Angeles Clippers,6-4,Nike,"$1,544,951",7.6,35.1,72.2
Kentavious Caldwell-Pope,Los Angeles Lakers,6-5,Nike,"$12,000,000",11.4,34.7,86.7
Josh Hart,Los Angeles Lakers,6-5,Nike,"$1,655,160",7.8,33.6,68.8
Kyle Kuzma,Los Angeles Lakers,6-9,Nike,"$1,689,840",18.7,30.3,75.2
Lance Stephenson,Los Angeles Lakers,6-6,Jordan,"$4,449,000",7.2,37.1,68.5
JaVale McGee,Los Angeles Lakers,7-0,Nike,"$2,393,887",12.0,8.3,63.2
Reggie Bullock,Los Angeles Lakers,6-7,Nike,"$2,500,000",11.3,37.7,85.9
Mike Muscala,Los Angeles Lakers,6-11,Nike,"$5,000,000",7.0,34.8,82.4
Mike Conley,Memphis Grizzlies,6-1,Jordan,"$30,521,115",21.1,36.4,84.5
Justin Holiday,Memphis Grizzlies,6-6,Nike,"$4,500,000",10.5,34.8,89.6
Avery Bradley,Memphis Grizzlies,6-2,Nike,"$12,000,000",9.9,35.1,86.0
Delon Wright,Memphis Grizzlies,6-5,Under_Armour,"$2,536,898",8.7,29.8,79.3
Bam Adebayo,Miami Heat,6-10,Nike,"$2,955,840",8.9,20.0,73.5
Kelly Olynyk,Miami Heat,7-0,Nike,"$13,537,527",10.0,35.4,82.2
Josh Richardson,Miami Heat,6-6,Jordan,"$9,367,200",16.6,35.7,86.1
Hassan Whiteside,Miami Heat,7-0,Nike,"$24,434,262",12.3,12.5,44.9
Justise Winslow,Miami Heat,6-7,Adidas,"$3,448,926",12.6,37.5,62.8
Dwyane Wade,Miami Heat,6-4,Li_Ning,"$2,393,887",15.0,33.0,70.8
Giannis Antetokounmpo,Milwaukee Bucks,6-11,Nike,"$24,157,304",27.7,25.6,72.9
Malcolm Brogdon,Milwaukee Bucks,6-5,Nike,"$1,544,951",15.6,42.6,92.8
Sterling Brown,Milwaukee Bucks,6-6,Jordan,"$1,378,242",6.4,36.1,69.0
Khris Middleton,Milwaukee Bucks,6-8,Nike,"$13,000,000",18.3,37.8,83.7
Tony Snell,Milwaukee Bucks,6-7,Adidas,"$10,607,143",6.0,39.7,88.1
Eric Bledsoe,Milwaukee Bucks,6-1,Nike,"$15,000,000",15.9,32.9,75.0
Brook Lopez,Milwaukee Bucks,7-0,Adidas,"$3,382,000",12.5,36.5,84.2
Ersan Ilyasova,Milwaukee Bucks,6-10,Nike,"$7,000,000",6.8,36.3,82.4
Pat Connaughton,Milwaukee Bucks,6-4,Jordan,"$1,641,000",6.9,33.0,72.5
George Hill,Milwaukee Bucks,6-3,Peak,"$19,000,000",7.6,31.4,82.4
Tim Frazier,Milwaukee Bucks,6-1,Adidas,"$1,832,107",5.3,36.6,75.9
Gorgui Dieng,Minnesota Timberwolves,6-11,Nike,"$15,170,787",6.4,33.9,83.0
Taj Gibson,Minnesota Timberwolves,6-9,Nike,"$14,000,000",10.8,32.4,75.7
Tyus Jones,Minnesota Timberwolves,6-2,Nike,"$2,444,052",6.9,31.7,84.1
Karl-Anthony Towns,Minnesota Timberwolves,7-0,Nike,"$7,839,435",24.4,40.0,83.6
Andrew Wiggins,Minnesota Timberwolves,6-8,Nike,"$25,467,250",18.1,33.9,69.9
Anthony Tolliver,Minnesota Timberwolves,6-8,Under_Armour,"$5,750,000",5.0,37.7,78.3
Josh Okogie,Minnesota Timberwolves,6-4,Nike,"$2,163,600",7.7,27.9,72.8
Dario Saric,Minnesota Timberwolves,6-10,Nike,"$2,526,840",10.6,36.5,88.0
Ian Clark,New Orleans Pelicans,6-3,Nike,"$1,757,429",6.7,32.7,89.2
Cheick Diallo,New Orleans Pelicans,6-9,Adidas,"$1,544,951",6.0,25.0,74.6
Jrue Holiday,New Orleans Pelicans,6-4,Nike,"$26,641,111",21.2,32.5,76.8
Frank Jackson,New Orleans Pelicans,6-3,Adidas,"$1,378,242",8.1,31.4,74.0
Darius Miller,New Orleans Pelicans,6-8,Jordan,"$2,205,000",8.2,36.5,78.9
Julius Randle,New Orleans Pelicans,6-9,Nike,"$8,641,000",21.4,34.4,73.1
Jahlil Okafor,New Orleans Pelicans,6-11,Nike,"$1,567,007",8.2,20.0,66.3
Stanley Johnson,New Orleans Pelicans,6-7,Nike,"$3,940,401",6.9,28.8,78.1
Damyean Dotson,New York Knicks,6-6,Nike,"$1,378,242",10.7,36.8,74.5
Emmanuel Mudiay,New York Knicks,6-5,Under_Armour,"$4,294,479",14.8,32.9,77.4
Mario Hezonja,New York Knicks,6-8,Nike,"$6,500,000",8.8,27.6,76.3
Kevin Knox,New York Knicks,6-9,Puma,"$3,744,840",12.8,34.3,71.7
Mitchell Robinson,New York Knicks,7-1,Jordan,"$1,485,440",7.3,0.0,60.0
Noah Vonleh,New York Knicks,6-9,Nike,"$1,621,415",8.4,33.6,71.2
Allonzo Trier,New York Knicks,6-5,Nike,"$3,382,000",10.9,39.4,80.3
DeAndre Jordan,New York Knicks,6-11,Nike,"$22,897,200",11.0,0.0,70.5
Steven Adams,Oklahoma City,7-0,Adidas,"$24,157,304",13.9,0.0,50.0
Terrance Ferguson,Oklahoma City,6-7,Under_Armour,"$2,118,840",6.9,36.6,72.5
Paul George,Oklahoma City,6-9,Nike,"$30,560,700",28.0,38.6,83.9
Jerami Grant,Oklahoma City,6-9,Jordan,"$8,333,333",13.6,39.2,71.0
Patrick Patterson,Oklahoma City,6-9,Nike,"$5,451,600",3.6,33.6,63.3
Russell Westbrook,Oklahoma City,6-3,Jordan,"$35,665,000",22.9,29.0,65.6
Nerlens Noel,Oklahoma City,6-11,Nike,"$1,757,429",4.9,0.0,68.4
Abdel Nader,Oklahoma City,6-6,Nike,"$1,378,242",4.0,32.0,75.0
Markieff Morris,Oklahoma City,6-10,Nike,"$9,173,294",9.4,33.5,77.2
Evan Fournier,Orlando Magic,6-7,Nike,"$17,000,000",15.1,34.0,80.6
Aaron Gordon,Orlando Magic,6-9,Nike,"$21,590,909",16.0,34.9,73.1
Jonathan Isaac,Orlando Magic,6-10,Nike,"$4,969,080",9.6,32.3,81.5
Terrence Ross,Orlando Magic,6-7,Nike,"$10,500,000",15.1,38.3,87.5
Nikola Vucevic,Orlando Magic,7-0,Nike,"$12,750,000",20.8,36.4,78.9
Jerian Grant,Orlando Magic,6-4,Under_Armour,"$2,639,313",4.2,36.4,65.0
Joel Embiid,Philadelphia 76ers,7-0,Under_Armour,"$25,467,250",27.5,30.0,80.4
Ben Simmons,Philadelphia 76ers,6-10,Nike,"$6,434,520",16.9,0.0,60.0
Jimmy Butler,Philadelphia 76ers,6-8,Jordan,"$19,841,627",18.7,34.7,85.5
Tobias Harris,Philadelphia 76ers,6-9,Nike,"$14,800,000",20.0,39.7,86.6
Boban Marjanovic,Philadelphia 76ers,7-3,Nike,"$9,490,740",7.3,40.0,74.8
Mike Scott,Philadelphia 76ers,6-8,Nike,"$4,320,500",5.8,40.1,66.7
Devin Booker,Phoenix Suns,6-6,Nike,"$3,314,365",26.6,32.6,86.6
Josh Jackson,Phoenix Suns,6-8,Under_Armour,"$6,041,520",11.5,32.4,67.1
Deandre Ayton,Phoenix Suns,7-1,Puma,"$8,175,840",16.3,0.0,74.6
Mikal Bridges,Phoenix Suns,6-7,Nike,"$3,557,400",8.3,33.5,80.5
Richaun Holmes,Phoenix Suns,6-10,Nike,"$1,600,520",8.2,0.0,73.1
Jamal Crawford,Phoenix Suns,6-5,Adidas,"$4,698,113",7.9,33.2,84.5
Al-Farouq Aminu,Portland Trail Blazers,6-9,Nike,"$6,957,105",9.4,34.3,86.7
Zach Collins,Portland Trail Blazers,7-0,Nike,"$3,628,920",6.6,33.1,74.6
Jake Layman,Portland Trail Blazers,6-9,Adidas,"$1,544,951",7.6,32.6,70.4
Meyers Leonard,Portland Trail Blazers,7-1,Nike,"$10,595,506",5.9,45.0,84.3
Damian Lillard,Portland Trail Blazers,6-3,Adidas,"$27,977,689",25.8,36.9,91.2
Jusuf Nurkic,Portland Trail Blazers,7-0,Nike,"$11,111,111",15.6,10.3,77.3
Evan Turner,Portland Trail Blazers,6-7,Li_Ning,"$17,868,853",6.8,21.2,70.8
Seth Curry,Portland Trail Blazers,6-2,Under_Armour,"$2,795,000",7.9,45.0,84.6
Rodney Hood,Portland Trail Blazers,6-8,Nike,"$3,472,887",11.2,35.6,88.4
Enes Kanter,Portland Trail Blazers,6-11,Nike,"$19,264,603",13.7,29.4,78.7
Bogdan Bogdanovic,Sacramento Kings,6-6,Nike,"$9,000,000",14.1,36.0,82.7
Willie Cauley-Stein,Sacramento Kings,7-0,Nike,"$4,696,874",11.9,50.0,55.1
Buddy Hield,Sacramento Kings,6-4,Nike,"$3,833,760",20.7,42.7,88.6
Yogi Ferrell,Sacramento Kings,6-0,Adidas,"$3,000,000",5.9,36.2,89.6
Nemanja Bjelica,Sacramento Kings,6-10,Adidas,"$6,500,000",9.6,40.1,76.1
Alec Burks,Sacramento Kings,6-6,Adidas,"$11,536,515",8.8,36.3,82.3
Harrison Barnes,Sacramento Kings,6-8,Nike,"$24,107,258",16.4,39.5,82.4
LaMarcus Aldridge,San Antonio Spurs,6-11,Jordan,"$22,347,015",21.3,23.8,84.7
Davis Bertans,San Antonio Spurs,6-10,Adidas,"$7,000,000",8.0,42.9,88.3
Bryn Forbes,San Antonio Spurs,6-3,Nike,"$3,125,000",11.8,42.6,88.5
Rudy Gay,San Antonio Spurs,6-8,Puma,"$10,087,200",13.7,40.2,81.6
Derrick White,San Antonio Spurs,6-4,Nike,"$1,667,160",9.9,33.8,77.2
Marco Belinelli,San Antonio Spurs,6-5,Nike,"$6,153,846",10.5,37.2,90.3
Dante Cunningham,San Antonio Spurs,6-8,Nike,"$2,487,000",3.0,46.2,77.8
DeMar DeRozan,San Antonio Spurs,6-7,Nike,"$27,739,975",21.2,15.6,83.0
Jakob Poeltl,San Antonio Spurs,7-0,Nike,"$2,947,320",5.5,0.0,53.3
Derrick Favors,Utah Jazz,6-10,Adidas,"$16,900,000",11.8,21.8,67.5
Rudy Gobert,Utah Jazz,7-1,Nike,"$22,991,573",15.9,0.0,63.6
Joe Ingles,Utah Jazz,6-8,Nike,"$12,545,455",12.1,39.1,70.7
Donovan Mitchell,Utah Jazz,6-3,Adidas,"$3,111,480",23.8,36.2,80.6
Ricky Rubio,Utah Jazz,6-4,Adidas,"$14,800,000",12.7,31.1,85.5
Georges Niang,Utah Jazz,6-8,Nike,"$1,512,601",4.0,41.0,83.3
Jae Crowder,Utah Jazz,6-6,Nike,"$7,305,825",11.9,33.1,72.1
Kyle Korver,Utah Jazz,6-7,Nike,"$7,560,000",8.6,39.7,82.2
OG Anunoby,Toronto Raptors,6-8,Nike,"$1,952,760",7.0,33.2,58.1
Serge Ibaka,Toronto Raptors,6-10,Adidas,"$21,666,667",15.0,29.0,76.3
Kyle Lowry,Toronto Raptors,6-1,Adidas,"$31,200,000",14.2,34.7,83.0
Norman Powell,Toronto Raptors,6-4,Nike,"$9,367,200",8.6,40.0,82.7
Pascal Siakam,Toronto Raptors,6-9,Nike,"$1,544,951",16.9,36.9,78.5
Fred VanVleet,Toronto Raptors,6-0,Adidas,"$8,653,847",11.0,37.8,84.3
Kawhi Leonard,Toronto Raptors,6-7,New_Balance,"$23,114,066",26.6,37.1,85.4
Danny Green,Toronto Raptors,6-6,Puma,"$10,000,000",10.3,45.5,84.1
Marc Gasol,Toronto Raptors,7-1,Nike,"$24,119,025",13.6,36.3,75.9
Jeremy Lin,Toronto Raptors,6-3,Adidas,"$12,516,746",9.6,29.4,83.8
Bradley Beal,Washington Wizards,6-5,Nike,"$25,434,262",25.6,35.1,80.8
Tomas Satoransky,Washington Wizards,6-7,Adidas,"$3,129,187",8.9,39.5,81.9
Jeff Green,Washington Wizards,6-9,Jordan,"$2,393,887",12.3,34.7,88.8
Thomas Bryant,Washington Wizards,6-11,Nike,"$1,378,242",10.5,33.3,78.1
Trevor Ariza,Washington Wizards,6-8,Nike,"$15,000,000",12.5,33.4,79.3
Jabari Parker,Washington Wizards,6-8,Jordan,"$20,000,000",14.5,31.3,71.2
