Player,Team,Height,Shoes,Salary,AveragePoints,ThreePointPercentage,FreeThrowPercentage
Kentavious Caldwell-Pope,LAL,6-5,Nike,"$12,000,000",11.4,34.7,86.7
Josh Hart,LAL,6-5,Nike,"$1,655,160",7.8,33.6,68.8
Kyle Kuzma,LAL,6-9,Nike,"$1,689,840",18.7,30.3,75.2
Lance Stephenson,LAL,6-6,Jordan,"$4,449,000",7.2,37.1,68.5
JaVale McGee,LAL,7-0,Nike,"$2,393,887",12.0,8.3,63.2
Reggie Bullock,LAL,6-7,Nike,"$2,500,000",11.3,37.7,85.9
Mike Muscala,LAL,6-11,Nike,"$5,000,000",7.0,34.8,82.4
Mike Conley,MEM,6-1,Jordan,"$30,521,115",21.1,36.4,84.5
Justin Holiday,MEM,6-6,Nike,"$4,500,000",10.5,34.8,89.6
Avery Bradley,MEM,6-2,Nike,"$12,000,000",9.9,35.1,86.0
Delon Wright,MEM,6-5,Under_Armour,"$2,536,898",8.7,29.8,79.3
Bam Adebayo,MIA,6-10,Nike,"$2,955,840",8.9,20.0,73.5
Kelly Olynyk,MIA,7-0,Nike,"$13,537,527",10.0,35.4,82.2
Josh Richardson,MIA,6-6,Jordan,"$9,367,200",16.6,35.7,86.1
Hassan Whiteside,MIA,7-0,Nike,"$24,434,262",12.3,12.5,44.9
Justise Winslow,MIA,6-7,Adidas,"$3,448,926",12.6,37.5,62.8
Dwyane Wade,MIA,6-4,Li_Ning,"$2,393,887",15.0,33.0,70.8
Giannis Antetokounmpo,MIL,6-11,Nike,"$24,157,304",27.7,25.6,72.9
Malcolm Brogdon,MIL,6-5,Nike,"$1,544,951",15.6,42.6,92.8
Sterling Brown,MIL,6-6,Jordan,"$1,378,242",6.4,36.1,69.0
Khris Middleton,MIL,6-8,Nike,"$13,000,000",18.3,37.8,83.7
Tony Snell,MIL,6-7,Adidas,"$10,607,143",6.0,39.7,88.1
Eric Bledsoe,MIL,6-1,Nike,"$15,000,000",15.9,32.9,75.0
Brook Lopez,MIL,7-0,Adidas,"$3,382,000",12.5,36.5,84.2
Ersan Ilyasova,MIL,6-10,Nike,"$7,000,000",6.8,36.3,82.4
Pat Connaughton,MIL,6-4,Jordan,"$1,641,000",6.9,33.0,72.5
George Hill,MIL,6-3,Peak,"$19,000,000",7.6,31.4,82.4
Tim Frazier,MIL,6-1,Adidas,"$1,832,107",5.3,36.6,75.9
Gorgui Dieng,MIN,6-11,Nike,"$15,170,787",6.4,33.9,83.0
Taj Gibson,MIN,6-9,Nike,"$14,000,000",10.8,32.4,75.7
Tyus Jones,MIN,6-2,Nike,"$2,444,052",6.9,31.7,84.1
Karl-Anthony Towns,MIN,7-0,Nike,"$7,839,435",24.4,40.0,83.6
Andrew Wiggins,MIN,6-8,Nike,"$25,467,250",18.1,33.9,69.9
Anthony Tolliver,MIN,6-8,Under_Armour,"$5,750,000",5.0,37.7,78.3
Josh Okogie,MIN,6-4,Nike,"$2,163,600",7.7,27.9,72.8
Dario Saric,MIN,6-10,Nike,"$2,526,840",10.6,36.5,88.0
Ian Clark,NOP,6-3,Nike,"$1,757,429",6.7,32.7,89.2
Cheick Diallo,NOP,6-9,Adidas,"$1,544,951",6.0,25.0,74.6
Jrue Holiday,NOP,6-4,Nike,"$26,641,111",21.2,32.5,76.8
Frank Jackson,NOP,6-3,Adidas,"$1,378,242",8.1,31.4,74.0
Darius Miller,NOP,6-8,Jordan,"$2,205,000",8.2,36.5,78.9
Julius Randle,NOP,6-9,Nike,"$8,641,000",21.4,34.4,73.1
Jahlil Okafor,NOP,6-11,Nike,"$1,567,007",8.2,20.0,66.3
Stanley Johnson,NOP,6-7,Nike,"$3,940,401",6.9,28.8,78.1
Damyean Dotson,NYK,6-6,Nike,"$1,378,242",10.7,36.8,74.5
Emmanuel Mudiay,NYK,6-5,Under_Armour,"$4,294,479",14.8,32.9,77.4
Mario Hezonja,NYK,6-8,Nike,"$6,500,000",8.8,27.6,76.3
Kevin Knox,NYK,6-9,Puma,"$3,744,840",12.8,34.3,71.7
Mitchell Robinson,NYK,7-1,Jordan,"$1,485,440",7.3,0.0,60.0
Noah Vonleh,NYK,6-9,Nike,"$1,621,415",8.4,33.6,71.2
Allonzo Trier,NYK,6-5,Nike,"$3,382,000",10.9,39.4,80.3
DeAndre Jordan,NYK,6-11,Nike,"$22,897,200",11.0,0.0,70.5
Steven Adams,OKC,7-0,Adidas,"$24,157,304",13.9,0.0,50.0
Terrance Ferguson,OKC,6-7,Under_Armour,"$2,118,840",6.9,36.6,72.5
Paul George,OKC,6-9,Nike,"$30,560,700",28.0,38.6,83.9
Jerami Grant,OKC,6-9,Jordan,"$8,333,333",13.6,39.2,71.0
Patrick Patterson,OKC,6-9,Nike,"$5,451,600",3.6,33.6,63.3
Russell Westbrook,OKC,6-3,Jordan,"$35,665,000",22.9,29.0,65.6
Nerlens Noel,OKC,6-11,Nike,"$1,757,429",4.9,0.0,68.4
Abdel Nader,OKC,6-6,Nike,"$1,378,242",4.0,32.0,75.0
Markieff Morris,OKC,6-10,Nike,"$9,173,294",9.4,33.5,77.2
